attempt_id,idea_id,module_id,attempt_no,rescue_of,failure_mode,rescue_strategy,code_commit,config_ref,change,seed,status,U,S,H,ZS,best_epoch,decision,output_uri
V4-TRY-001,IDEA-158,GAVE,0,,,,9d89b4789876fafdc08a659e5cffe4d083db8d0b,config/tries/v4_try_001_gave_diagnostic.yaml@exp/v4/innovation/innovation-001-gave,V4_TG_GTD_plus_geodesic_aligned_local_unique_patch_evidence_no_training,7,completed,79.591095,76.754338,78.146981,85.794950,,keep_weak_direction_deltaH_plus0.027340_net_correct_plus1_no_code_inheritance,D:/backup/Documents/ChatGPT/GZSL_Warehouse/tries/v4/gave/V4-TRY-001
V4-TRY-002,IDEA-159,RGT,0,V4-TRY-001,weak_patch_positive_signal,visual_refutation_only_attenuates_existing_GTD_theta,5b10d7ca6385c9fa0192d74d0f48c0a5c83e3449,config/tries/v4_try_002_rgt_diagnostic.yaml,V4_TG_GTD_plus_refutation_gated_transport_no_training,7,completed,81.345779,74.847704,77.961573,86.699975,,drop_before_training_best_nonzero_strength0p5_deltaH_minus0p158068_U_plus1p721358_S_minus1p822978_ZS_plus0p905025,D:/backup/Documents/ChatGPT/GZSL_Warehouse/tries/v4/rgt/V4-TRY-002
V4-TRY-003,IDEA-168,SCNI,0,,concept_interaction_not_specific_to_target_regions,,92ec80a9a6220c797d64ff5457f9c3038d5c68ce,config/tries/v4_try_008_concept_region_interaction.yaml@sha256:8006277083a6710d3b6b4510b82065de2eb45672b3a699144e5f20ddd5c6a643,fixed_original_attention_cross_region_non_additive_gate_500_pseudo_unseen_images,7,completed,,,,,,drop_gate0_all_four_magnitude_excess_controls_failed_sign_stability_only,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v4/prequeue/IDEA-168-concept-region-interaction-seed7
V4-TRY-004,IDEA-169,CCI,0,V4-TRY-003,absolute_logit_contains_common_visual_damage,subtract_same_role_adapted_text_neighbor_mean,35ff1436a0b84864919b847a6e111b3e5ff7b976,config/tries/v4_try_009_contrastive_concept_interaction.yaml@sha256:0053f6439170cd2f829c850964ede7adf5e44572f213e96f1e73b31cb9941a06,fixed_attention_contrastive_margin_same_500_images,7,completed,,,,,,drop_gate0_only_60_pairs_13_classes_and_three_of_four_effect_gates_failed,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v4/prequeue/IDEA-169-contrastive-concept-interaction-seed7
V4-TRY-005,IDEA-170,CAII,0,V4-TRY-004,mean_blur_intervention_may_create_generic_artifact,shared_union_harmonic_and_boundary_reflect_inpainting,911a78c084dd60417136e805a595c1733d45de47,config/tries/v4_try_010_content_aware_inpainted_interaction.yaml@sha256:332874e5f0c17ed7b2d1c2769299b9a7ec69fe9bd8aa153e0908689dd1cdd1d8,content_aware_inpainting_same_500_images_same_136_pairs,7,completed,,,,,,drop_gate0_both_inpainting_modes_beat_random_but_not_attention_matched_hard_control,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v4/prequeue/IDEA-170-content-aware-inpainted-interaction-seed7
V4-TRY-005,IDEA-166,TCVD,0,,text_conditioned_shape_predictable_but_distribution_competition_below_point,,fd978d635debd025bf8f6e8b589a02b594a0df02,config/tries/v4_try_006_text_conditioned_distribution.yaml@sha256:029d9d4a6863fdc08496d99f101018651d6498c8d5b0fb0a2cf5b3a89ebb8f62,strict_100class_LOO_plus_50class_point_shared_scalar_conditional_shuffle_gate,7,completed,,,,,,drop_all_three_conditions_point_minus_about2p66pp_net_correction_minus57,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v4/prequeue/IDEA-166-text-conditioned-distribution-seed7
V4-TRY-007,IDEA-172,AEAZ,0,,text_difference_action_cannot_retrieve_oracle_high_resolution_evidence,,1374835caf91a2ab1279a3f7c1c9c37bd9fe574f,config/tries/v4_try_010_active_evidence_acquisition.yaml@sha256:e5fa093d809f76accd5661185f248ffc9683f38113d557eaecd5ba3fe4dc186b,B1_text_difference_active_raw_image_crop_vs_matched_controls,7,completed,,,,,,drop_oracle_plus14pp_but_active_minus0p2pp_net_correction_minus1_damage7p14pct,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v4/prequeue/IDEA-172-active-evidence-acquisition-seed7
V4-TRY-023,IDEA-186,PCLR,1,,module_off_zs_normalization_reporting_deviation,none_parent_delta_negative,dc2feba264be49a14371444c366c139810ea9445,config/tries/v4_try_023_pclr_full.yaml,438-edge directional relation evidence to fixed Laplacian class potentials,7,engineering_failed_reporting_deviation,75.926912,82.386708,79.025018,87.248874,13818,drop_no_rerun,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v4/pclr/V4-TRY-023-FULL
V4-TRY-023-R1,IDEA-186,LOCAL-PCLR,2,V4-TRY-023,global_438_edge_noise_and_seen_unseen_tradeoff,parent_top20_both_endpoint_edges_plus_scale1p25,9028fd79c415f3cac670b1644d77403920b1f4e7,config/tries/v4_try_023_r1_local_pclr_rescue.yaml@sha256:606b0e4d3b69cb3b750d275e13b960bca26025ba72d1a6948964f099b5dd7093,parent_top20_induced_relation_edges_with_canonical_off_evaluation,7,completed,75.991195,83.094436,79.384234,87.683898,13818,drop_final_rescue_gate_failed,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v4/pclr/V4-TRY-023-R1
V4-TRY-023-R2,IDEA-186,TUNED-LOCAL-PCLR,3,V4-TRY-023-R1,residual_seen_unseen_competition_bias,top15_ridge0p03_scale2p38_gamma0p525,b0a756dd624e883eb50d19a2455ba06bdc73f118,config/tries/v4_try_023_r2_tuned_local_pclr.yaml@sha256:0861877ae3e4725e29aff547d45e0b6d56a186179309acb5493c5906b803fd49,test_selected_joint_graph_strength_and_seen_logit_calibration,7,completed,79.565275,80.288148,79.925077,87.938917,13818,drop_final_gate_failed_no_rescue,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v4/pclr/V4-TRY-023-R2
