attempt_id,idea_id,module_id,attempt_no,rescue_of,failure_mode,rescue_strategy,code_commit,config_ref,change,seed,status,U,S,H,ZS,best_epoch,decision,output_uri
V3-TRY-001,IDEA-134,SLE,0,,,,8defcc12f0457953ceddad8dc0133d479b5df69c,config/tries/v3_try_001_sle_seed7.yaml,TG_plus_SLE16_end_to_end_hard1,7,completed,59.506238,88.204509,71.067523,83.791411,62,drop_seen_bias_minus5.590136_gap28.698272,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/sle/V3-TRY-001
V3-TRY-002,IDEA-001,TG-BASE,0,,,,4930c20c7130fe02ba27263ecac5c0d1aa7367c7,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/runtime_configs/V3-TRY-002-TG-BASE.yaml,clean_TG_parent_fixed200,7,completed,78.407878,74.983871,76.657659,86.146760,80,keep_exact_parent_reproduction,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/V3-TRY-002-TG-BASE
V3-TRY-003,IDEA-135,HGE,0,,,,4930c20c7130fe02ba27263ecac5c0d1aa7367c7,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/runtime_configs/V3-TRY-003-SCREEN-HGE.yaml,TG_plus_HGE_dynamic150,7,completed,76.837975,76.338392,76.587369,86.047900,79,drop_deltaH_minus0.070290_epoch100_plateau,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/V3-TRY-003-SCREEN-HGE
V3-TRY-004,IDEA-136,LAC,0,,,,4930c20c7130fe02ba27263ecac5c0d1aa7367c7,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/runtime_configs/V3-TRY-004-SCREEN-LAC.yaml,TG_plus_LAC_dynamic150,7,completed,77.798843,73.077548,75.364325,86.146760,44,drop_deltaH_minus1.293334_epoch80,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/V3-TRY-004-SCREEN-LAC
V3-TRY-005,IDEA-137,VSE,0,,,,4930c20c7130fe02ba27263ecac5c0d1aa7367c7,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/runtime_configs/V3-TRY-005-SCREEN-VSE.yaml,TG_plus_VSE_dynamic150,7,completed,78.310716,74.735159,76.481170,86.146760,85,drop_deltaH_minus0.176489_epoch100_plateau,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/V3-TRY-005-SCREEN-VSE
V3-TRY-006,IDEA-138,SMC,0,,,,4930c20c7130fe02ba27263ecac5c0d1aa7367c7,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/runtime_configs/V3-TRY-006-SCREEN-SMC.yaml,TG_plus_SMC_dynamic150,7,completed,77.464861,74.543029,75.975864,86.146760,74,drop_deltaH_minus0.681795_epoch100_plateau,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/V3-TRY-006-SCREEN-SMC
V3-TRY-007,IDEA-139,NTP,0,,,,4930c20c7130fe02ba27263ecac5c0d1aa7367c7,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/runtime_configs/V3-TRY-007-SCREEN-NTP.yaml,TG_plus_NTP_dynamic150,7,completed,71.204805,67.059642,69.070088,86.146760,0,drop_deltaH_minus7.587571_epoch60,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/V3-TRY-007-SCREEN-NTP
V3-TRY-008,IDEA-140,ALE,0,,,,4930c20c7130fe02ba27263ecac5c0d1aa7367c7,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/runtime_configs/V3-TRY-008-SCREEN-ALE.yaml,TG_plus_ALE_dynamic150,7,completed,71.204805,67.059642,69.070088,86.146760,0,drop_deltaH_minus7.587571_epoch60,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/dynamic-screen-001/V3-TRY-008-SCREEN-ALE
V3-TRY-009,IDEA-141,CLPR-TOPK-DIAGNOSTIC,0,,,,b2293c68ad7dd62830357a57741fab53902b1073,config/tries/v3_try_009_clpr_topk_diagnostic.yaml,TG_top2_top3_top4_parameter_free_local_rerank,7,completed,78.260636,74.836200,76.510120,85.931742,,drop_before_training_best_nonzero_k3_alpha0.05_deltaH_minus0.147539,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/clpr/V3-TRY-009
V3-TRY-010,IDEA-141,CLPR-TOPK-DIAGNOSTIC,1,V3-TRY-009,preregistered_center_only_but_try009_executed_zscore,strict_center_only_formula,d8cbfd7b59301437e3efdaf1e50284b6478c5f06,config/tries/v3_try_010_clpr_center_only_diagnostic.yaml,TG_top2_top3_top4_center_only_local_rerank,7,completed,78.375107,74.983871,76.641994,86.147326,,drop_before_training_best_nonzero_k2_alpha0.05_deltaH_minus0.015665,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/clpr/V3-TRY-010
V3-TRY-011,IDEA-141,CLPR-TOPK-DIAGNOSTIC,2,V3-TRY-010,legacy_patch_asset_identity_not_reproducible,final_projected576_and_coarse36_asset_chain,678c6bf2bd1e7cb7543a38cea01f05ddcaaa9570,config/tries/v3_try_011_clpr_final_asset_diagnostic.yaml,TG_top2_top3_top4_center_only_with_final_audited_visual_asset,7,completed,78.375107,74.983871,76.641994,86.147326,,drop_before_training_final_asset_best_nonzero_k2_alpha0.05_deltaH_minus0.015665,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/clpr/V3-TRY-011
V3-TRY-012,IDEA-142,FREQUENCY-FOREGROUND,0,,,,f3aefd92c7aa59fd43c617ee13b00486522368ef,config/tries/v3_try_012_frequency_foreground_diagnostic.yaml,TG_top3_frequency_repo_paper_k1_144_288_no_training,7,completed,78.637934,74.649912,76.592046,86.273980,,drop_before_training_best_nonzero_repo_k1_beta0.05_deltaH_minus0.065613,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/frequency-foreground/V3-TRY-012
V3-TRY-013,IDEA-143,MULTISCALE-CONTRAST,0,,,,4f1a0d132d81ea7869313a777ecb1ce525e2ba48,config/tries/v3_try_013_multiscale_contrast_diagnostic.yaml,TG_top3_full576_scales24_12_6_pair_difference_reliability,7,completed,78.105056,74.921691,76.480263,85.842818,,drop_before_training_best_nonzero_beta0.05_deltaH_minus0.177396,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/multiscale-contrast/V3-TRY-013
V3-TRY-014,IDEA-144,FMC-SR,0,,,,b660b856f72fd038a54a28fe55af5b0eeb688be7,config/tries/v3_try_014_fmc_sr_ordinary_ce.yaml,TG_plus_FMCSR_ordinary_CE_dynamic150,7,completed,78.407878,74.983871,76.657659,86.146760,0,drop_epoch50_best_strict_parent_deltaH0,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/fmc-sr/V3-TRY-014
V3-TRY-015,IDEA-144,FMC-SR-MIC,0,V3-TRY-014,,minimal_intervention_training,b660b856f72fd038a54a28fe55af5b0eeb688be7,config/tries/v3_try_015_fmc_sr_mic.yaml,TG_plus_FMCSR_minimal_intervention_dynamic150,7,completed,78.407878,74.983871,76.657659,86.146760,0,drop_matched_try014_deltaH0_epoch50,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/fmc-sr/V3-TRY-015
V3-TRY-018,IDEA-144,FMC-SR,1,V3-TRY-014,early_stop_at_epoch50_before_owner_required_150,fixed150_groupwise_warmup_cosine_no_early_stop,48890db2659618e1f9582576358c58cc86c4eb79,config/tries/v3_try_018_fmc_sr_ordinary_ce_150.yaml,TG_plus_FMCSR_ordinary_CE_fixed150,7,completed,78.407878,74.983871,76.657659,86.146760,0,drop_fixed150_best_update0_deltaH0,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/fmc-sr/V3-TRY-018
V3-TRY-019,IDEA-144,FMC-SR-MIC,1,V3-TRY-015,early_stop_at_epoch50_before_owner_required_150,fixed150_groupwise_warmup_cosine_no_early_stop,48890db2659618e1f9582576358c58cc86c4eb79,config/tries/v3_try_019_fmc_sr_mic_150.yaml,TG_plus_FMCSR_minimal_intervention_fixed150,7,completed,77.173418,76.225722,76.696642,86.146760,4,drop_matched_try018_deltaH_plus0.038983_below0.8,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/fmc-sr/V3-TRY-019
V3-TRY-022,IDEA-146,GTD-TST,0,,,,9ec4b61878115c25c32b3eb5c6d553b6e6292fd1,config/tries/v3_try_022_gtd_tst_fixed150.yaml,TG_checkpoint_plus_auditable_geodesic_distillation_fixed150_drop_null_conditional_try020,7,completed,80.559021,75.587094,77.993901,86.611593,6,keep_supported_static_and_matched_deltaH_plus1.336242_gap4.971927,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/gtd-tst/V3-TRY-022
V3-TRY-040,IDEA-146,TG-SCRATCH-CONTROL,0,,,,bb7d1610a13970347b7e4cfb05fa1db765386d7e,config/tries/v3_try_040_tg_scratch_fixed150.yaml,random_TG_seed7_no_checkpoint_fixed150_matched_control,7,planned,,,,,,pending_local_scratch_confirmation,D:/backup/Documents/ChatGPT/GZSL_Warehouse/tries/v3/gtd-scratch/V3-TRY-040
V3-TRY-041,IDEA-146,GTD-SCRATCH,0,,,,bb7d1610a13970347b7e4cfb05fa1db765386d7e,config/tries/v3_try_041_gtd_scratch_fixed150.yaml,same_random_TG_seed7_plus_zero_init_GTD_fixed150,7,planned,,,,,,pending_matched_V3-TRY-040,D:/backup/Documents/ChatGPT/GZSL_Warehouse/tries/v3/gtd-scratch/V3-TRY-041
V3-TRY-046,IDEA-146,GTD-MULTIDATASET,0,,,,de5eb2dbea34bba35597b86aa31a84d9a852c1b9,config/tries/v3_try_046_gtd_awa2_scratch_fixed150.yaml,TG_plus_GTD_scratch_AWA2_fixed150_same_formula_dataset_dynamic_counts,7,planned,,,,,,pending_two_round_review,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/gtd-multidataset/V3-TRY-046
V3-TRY-047,IDEA-146,GTD-MULTIDATASET,1,,,,de5eb2dbea34bba35597b86aa31a84d9a852c1b9,config/tries/v3_try_047_gtd_sun_scratch_fixed150.yaml,TG_plus_GTD_scratch_SUN_fixed150_same_formula_dataset_dynamic_counts,7,planned,,,,,,pending_two_round_review,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/gtd-multidataset/V3-TRY-047
